Category,Previous,Current,Species,Stage,Generation,Previous.Current,Previous.Species,Current.Species,Previous.Stage,Current.Stage,Species.Stage,Previous.Generation,Current.Generation,Species.Generation,Stage.Generation,Previous.Current.Species,Previous.Current.Stage,Previous.Species.Stage,Current.Species.Stage,Previous.Current.Generation,Previous.Species.Generation,Current.Species.Generation,Previous.Stage.Generation,Current.Stage.Generation,Species.Stage.Generation,Previous.Current.Species.Stage,Previous.Current.Species.Generation,Previous.Current.Stage.Generation,Previous.Species.Stage.Generation,Current.Species.Stage.Generation,Previous.Current.Species.Stage.Generation
Conserved,0,0,-6.68867953386248,0.296116760262117,-1.04948950138665,0,0,0,0,0,-2.72788690796712,0,0,-29.8973528539863,-1.65582249287643,0,0,0,0,0,0,0,-29.8973528539863,0,-1.26110164815786,0,0,0,0,0,0
Only_Cis,0,0,1.44157718349544,-0.330937441952212,0.276420171769816,0,0,0,0,0,0,0,0,-29.8973528539863,-3.04111619387296,0,0,0,0,0,0,0,0,-29.8973528539863,0,0,0,0,0,0,0
Only_Trans,0,0,2.28260493154832,0.866930648317994,0,0,0,0,0,0,2.82177383823005,0,0,2.29023431101515,0,0,0,0,0,3.73932115316183,0,0,0,0,1.58918021000269,0,0,0,0,0,0
Enhancing,0,0,1.32865659298876,0,0.870364283517931,0,0,0,0,0,0,0,0,1.93282321672268,0,0,0,0,0,0,0,0,0,0,2.1383975346951,0,0,0,0,0,0
Compensating,0,-29.8973528539863,-0.739613987773863,-0.827359458747413,0.70837517427515,0,0,0,0,0,-1.80367053722396,0,0,1.96529870986528,-0.986149954228192,0,0,0,0,0,0,0,0,-2.65551521840804,0.778203373683163,0,0,0,0,0,0
