Category,Previous,Current,Species,Stage,Generation,Previous.Current,Previous.Species,Current.Species,Previous.Stage,Current.Stage,Species.Stage,Previous.Generation,Current.Generation,Species.Generation,Stage.Generation,Previous.Current.Species,Previous.Current.Stage,Previous.Species.Stage,Current.Species.Stage,Previous.Current.Generation,Previous.Species.Generation,Current.Species.Generation,Previous.Stage.Generation,Current.Stage.Generation,Species.Stage.Generation,Previous.Current.Species.Stage,Previous.Current.Species.Generation,Previous.Current.Stage.Generation,Previous.Species.Stage.Generation,Current.Species.Stage.Generation,Previous.Current.Species.Stage.Generation
Conserved,-1.97168896923509,0,-6.66064669282609,0.253315231996149,-0.895934166367526,0,0,0,0,0,-2.28483485780962,0,0,-29.8973528539863,-1.25585797165484,0,0,0,0,0,0,0,0,0,-1.10549451625976,0,0,0,0,0,0
Only_Cis,0,0,1.45816789709419,-0.330937441952212,0.284497642878593,0,0,0,0,0,0,0,0,-29.8973528539863,-3.04111619387296,0,0,0,0,0,0,0,0,-29.8973528539863,0,0,0,0,0,0,0
Only_Trans,0,0,2.23821886215258,0.889633767775564,0,0,0,0,0,0,2.6621833066285,0,0,2.27901025809811,0,0,0,0,0,3.69520730818042,0,0,0,0,1.419342294159,0,0,0,0,0,0
Enhancing,0,0,1.53354368059605,0,0.951097417480999,0,0,0,0,0,0,0,0,1.98141352909624,0,0,0,0,0,0,0,0,0,0,2.20884781304168,0,0,0,0,0,0
Compensating,0,-29.8973528539863,-0.686247267931493,-0.90971461556248,0.696739737965782,0,0,0,0,0,-1.73103678138764,0,0,1.95885410803265,-1.10697250253148,0,0,0,0,0,0,0,0,-2.69834992855173,0.833607473582527,0,0,0,0,0,0
