Category,Previous,Current,Species,Stage,Generation,Previous.Current,Previous.Species,Current.Species,Previous.Stage,Current.Stage,Species.Stage,Previous.Generation,Current.Generation,Species.Generation,Stage.Generation,Previous.Current.Species,Previous.Current.Stage,Previous.Species.Stage,Current.Species.Stage,Previous.Current.Generation,Previous.Species.Generation,Current.Species.Generation,Previous.Stage.Generation,Current.Stage.Generation,Species.Stage.Generation,Previous.Current.Species.Stage,Previous.Current.Species.Generation,Previous.Current.Stage.Generation,Previous.Species.Stage.Generation,Current.Species.Stage.Generation,Previous.Current.Species.Stage.Generation
Conserved,-2.01903848244738,0,-6.70798295988846,0.323188216196941,-0.98686481038494,0,0,0,0,0,-2.10981029850708,0,0,-29.8973528539863,-1.118707888281,0,0,0,0,0,0,0,0,0,-1.22811421338811,0,0,0,0,0,0
Only_Cis,0,-29.8973528539863,1.45216588709084,-0.336946148094134,0.278490135174434,0,0,0,0,0,0,0,0,-29.8973528539863,-3.04712725854453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Only_Trans,0,0,2.28110267567919,0.912700588898559,0,0,0,0,0,0,2.86741987207453,0,0,2.26733078275332,0,0,0,0,0,3.786039723405,0,0,0,0,1.37205394142434,0,0,0,0,0,0
Enhancing,0,0,0.888205648565437,-0.866126497830268,0.7044303340808,0,0,0,0,0,0,0,0,1.95599729853251,0,0,0,0,0,0,0,0,0,0,2.00422946810957,0,0,0,0,0,0
Compensating,0,-29.8973528539863,-0.565061249646101,-0.781841140344117,0.731596860290334,0,0,0,0,0,-1.59310612019246,0,0,1.97361560784416,-1.0759502106749,0,0,0,0,0,0,0,0,-2.66732410575395,0.829661615039817,0,0,0,0,0,0
