Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
CG12920,NA,NA,CG16995,CG14882,NA,NA,NA,NA,NA,CG42585,NA,NA,NA,NA,NA
CG12923,NA,NA,CG16998,CG14883,NA,NA,NA,NA,NA,CG4259,NA,NA,NA,NA,NA
CG12926,NA,NA,CG17019,CG14891,NA,NA,NA,NA,NA,CG42613,NA,NA,NA,NA,NA
CG12934,NA,NA,CG1703,CG14892,NA,NA,NA,NA,NA,CG42634,NA,NA,NA,NA,NA
CG12935,NA,NA,CG17047,CG14893,NA,NA,NA,NA,NA,CG4266,NA,NA,NA,NA,NA
CG12942,NA,NA,CG17059,CG1492,NA,NA,NA,NA,NA,CG4267,NA,NA,NA,NA,NA
CG12963,NA,NA,CG17075,CG14926,NA,NA,NA,NA,NA,CG42674,NA,NA,NA,NA,NA
CG12964,NA,NA,CG17124,CG14929,NA,NA,NA,NA,NA,CG42697,NA,NA,NA,NA,NA
CG12970,NA,NA,CG17134,CG14930,NA,NA,NA,NA,NA,CG42700,NA,NA,NA,NA,NA
CG12974,NA,NA,CG17147,CG14931,NA,NA,NA,NA,NA,CG4271,NA,NA,NA,NA,NA
CG12975,NA,NA,CG17159,CG14937,NA,NA,NA,NA,NA,CG42724,NA,NA,NA,NA,NA
CG12983,NA,NA,CG17167,CG14957,NA,NA,NA,NA,NA,CG42784,NA,NA,NA,NA,NA
CG1299,NA,NA,CG17180,CG14958,NA,NA,NA,NA,NA,CG42792,NA,NA,NA,NA,NA
CG12990,NA,NA,CG17190,CG14971,NA,NA,NA,NA,NA,CG42823,NA,NA,NA,NA,NA
CG12991,NA,NA,CG17221,CG14974,NA,NA,NA,NA,NA,CG42834,NA,NA,NA,NA,NA
CG12992,NA,NA,CG17224,CG14977,NA,NA,NA,NA,NA,CG42855,NA,NA,NA,NA,NA
CG12995,NA,NA,CG17249,CG14983,NA,NA,NA,NA,NA,CG4294,NA,NA,NA,NA,NA
CG12998,NA,NA,CG17278,CG14989,NA,NA,NA,NA,NA,CG4297,NA,NA,NA,NA,NA
CG13004,NA,NA,CG17292,CG14990,NA,NA,NA,NA,NA,CG4301,NA,NA,NA,NA,NA
CG13005,NA,NA,CG17294,CG14995,NA,NA,NA,NA,NA,CG4302,NA,NA,NA,NA,NA
CG13008,NA,NA,CG17321,CG14997,NA,NA,NA,NA,NA,CG43058,NA,NA,NA,NA,NA
CG13014,NA,NA,CG17322,CG15012,NA,NA,NA,NA,NA,CG4306,NA,NA,NA,NA,NA
CG13016,NA,NA,CG17323,CG15014,NA,NA,NA,NA,NA,CG43066,NA,NA,NA,NA,NA
CG13021,NA,NA,CG17324,CG15019,NA,NA,NA,NA,NA,CG43112,NA,NA,NA,NA,NA
CG1307,NA,NA,CG17328,CG15027,NA,NA,NA,NA,NA,CG4313,NA,NA,NA,NA,NA
CG13077,NA,NA,CG17333,CG15034,NA,NA,NA,NA,NA,CG43134,NA,NA,NA,NA,NA
CG13081,NA,NA,CG17350,CG15036,NA,NA,NA,NA,NA,CG43187,NA,NA,NA,NA,NA
CG13083,NA,NA,CG17378,CG15067,NA,NA,NA,NA,NA,CG4325,NA,NA,NA,NA,NA
CG13084,NA,NA,CG1738,CG15080,NA,NA,NA,NA,NA,CG43288,NA,NA,NA,NA,NA
CG13085,NA,NA,CG17385,CG15084,NA,NA,NA,NA,NA,CG43320,NA,NA,NA,NA,NA
CG13086,NA,NA,CG17493,CG15093,NA,NA,NA,NA,NA,CG43328,NA,NA,NA,NA,NA
CG13088,NA,NA,CG1750,CG15096,NA,NA,NA,NA,NA,CG43338,NA,NA,NA,NA,NA
CG1309,NA,NA,CG17528,CG15098,NA,NA,NA,NA,NA,CG43366,NA,NA,NA,NA,NA
CG13096,NA,NA,CG17544,CG15099,NA,NA,NA,NA,NA,CG43367,NA,NA,NA,NA,NA
CG13097,NA,NA,CG17549,CG15107,NA,NA,NA,NA,NA,CG4341,NA,NA,NA,NA,NA
CG13101,NA,NA,CG17572,CG15109,NA,NA,NA,NA,NA,CG43427,NA,NA,NA,NA,NA
CG13102,NA,NA,CG17593,CG15115,NA,NA,NA,NA,NA,CG4363,NA,NA,NA,NA,NA
CG1311,NA,NA,CG17598,CG15116,NA,NA,NA,NA,NA,CG4364,NA,NA,NA,NA,NA
CG13110,NA,NA,CG17648,CG15117,NA,NA,NA,NA,NA,CG43707,NA,NA,NA,NA,NA
CG13113,NA,NA,CG17650,CG15118,NA,NA,NA,NA,NA,CG43901,NA,NA,NA,NA,NA
CG13114,NA,NA,CG17652,CG15124,NA,NA,NA,NA,NA,CG43902,NA,NA,NA,NA,NA
CG13116,NA,NA,CG17658,CG15125,NA,NA,NA,NA,NA,CG43921,NA,NA,NA,NA,NA
CG13117,NA,NA,CG17660,CG15128,NA,NA,NA,NA,NA,CG4409,NA,NA,NA,NA,NA
CG13123,NA,NA,CG17669,CG1513,NA,NA,NA,NA,NA,CG4415,NA,NA,NA,NA,NA
CG13126,NA,NA,CG17691,CG15136,NA,NA,NA,NA,NA,CG44153,NA,NA,NA,NA,NA
CG13127,NA,NA,CG17712,CG15142,NA,NA,NA,NA,NA,CG44243,NA,NA,NA,NA,NA
CG13131,NA,NA,CG17717,CG15143,NA,NA,NA,NA,NA,CG44325,NA,NA,NA,NA,NA
CG13133,NA,NA,CG17737,CG15145,NA,NA,NA,NA,NA,CG44435,NA,NA,NA,NA,NA
CG13137,NA,NA,CG17739,CG15147,NA,NA,NA,NA,NA,CG4496,NA,NA,NA,NA,NA
CG13148,NA,NA,CG17744,CG15152,NA,NA,NA,NA,NA,CG45186,NA,NA,NA,NA,NA
CG1315,NA,NA,CG17760,CG15153,NA,NA,NA,NA,NA,CG4577,NA,NA,NA,NA,NA
CG13151,NA,NA,CG17765,CG15155,NA,NA,NA,NA,NA,CG4586,NA,NA,NA,NA,NA
CG13154,NA,NA,CG17768,CG15167,NA,NA,NA,NA,NA,CG4587,NA,NA,NA,NA,NA
CG13155,NA,NA,CG17803,CG15168,NA,NA,NA,NA,NA,CG4592,NA,NA,NA,NA,NA
CG1316,NA,NA,CG17816,CG15169,NA,NA,NA,NA,NA,CG4594,NA,NA,NA,NA,NA
CG13163,NA,NA,CG17821,CG15170,NA,NA,NA,NA,NA,CG4607,NA,NA,NA,NA,NA
CG13164,NA,NA,CG17841,CG15172,NA,NA,NA,NA,NA,CG4615,NA,NA,NA,NA,NA
CG13168,NA,NA,CG17855,CG15185,NA,NA,NA,NA,NA,CG4627,NA,NA,NA,NA,NA
CG1317,NA,NA,CG17883,CG15186,NA,NA,NA,NA,NA,CG4629,NA,NA,NA,NA,NA
CG13170,NA,NA,CG1789,CG15196,NA,NA,NA,NA,NA,CG46301,NA,NA,NA,NA,NA
CG13171,NA,NA,CG17896,CG15198,NA,NA,NA,NA,NA,CG4650,NA,NA,NA,NA,NA
CG13177,NA,NA,CG17904,CG15200,NA,NA,NA,NA,NA,CG4660,NA,NA,NA,NA,NA
CG13185,NA,NA,CG17919,CG15208,NA,NA,NA,NA,NA,CG4666,NA,NA,NA,NA,NA
CG13186,NA,NA,CG1792,CG15210,NA,NA,NA,NA,NA,CG4670,NA,NA,NA,NA,NA
CG13192,NA,NA,CG17928,CG15212,NA,NA,NA,NA,NA,CG4676,NA,NA,NA,NA,NA
CG13193,NA,NA,CG17931,CG15219,NA,NA,NA,NA,NA,CG4709,NA,NA,NA,NA,NA
CG13196,NA,NA,CG17974,CG15221,NA,NA,NA,NA,NA,CG4716,NA,NA,NA,NA,NA
CG13197,NA,NA,CG17982,CG15227,NA,NA,NA,NA,NA,CG4734,NA,NA,NA,NA,NA
CG13203,NA,NA,CG17985,CG15233,NA,NA,NA,NA,NA,CG4743,NA,NA,NA,NA,NA
CG13204,NA,NA,CG17994,CG15237,NA,NA,NA,NA,NA,CG4744,NA,NA,NA,NA,NA
CG13216,NA,NA,CG17999,CG15252,NA,NA,NA,NA,NA,CG4781,NA,NA,NA,NA,NA
CG13217,NA,NA,CG18003,CG15254,NA,NA,NA,NA,NA,CG4788,NA,NA,NA,NA,NA
CG13220,NA,NA,CG18011,CG15255,NA,NA,NA,NA,NA,CG4797,NA,NA,NA,NA,NA
CG13223,NA,NA,CG18012,CG15256,NA,NA,NA,NA,NA,CG4815,NA,NA,NA,NA,NA
CG13227,NA,NA,CG18048,CG15258,NA,NA,NA,NA,NA,CG4822,NA,NA,NA,NA,NA
CG13231,NA,NA,CG18065,CG15260,NA,NA,NA,NA,NA,CG4829,NA,NA,NA,NA,NA
CG13243,NA,NA,CG18067,CG15262,NA,NA,NA,NA,NA,CG4836,NA,NA,NA,NA,NA
CG13244,NA,NA,CG18094,CG15263,NA,NA,NA,NA,NA,CG4872,NA,NA,NA,NA,NA
CG13245,NA,NA,CG18095,CG15269,NA,NA,NA,NA,NA,CG4908,NA,NA,NA,NA,NA
CG13248,NA,NA,CG18131,CG15270,NA,NA,NA,NA,NA,CG4927,NA,NA,NA,NA,NA
CG13251,NA,NA,CG18135,CG15278,NA,NA,NA,NA,NA,CG4928,NA,NA,NA,NA,NA
CG13252,NA,NA,CG18155,CG15283,NA,NA,NA,NA,NA,CG4951,NA,NA,NA,NA,NA
CG13258,NA,NA,CG18170,CG15293,NA,NA,NA,NA,NA,CG4960,NA,NA,NA,NA,NA
CG13272,NA,NA,CG18173,CG15296,NA,NA,NA,NA,NA,CG4970,NA,NA,NA,NA,NA
CG13283,NA,NA,CG18234,CG15309,NA,NA,NA,NA,NA,CG4988,NA,NA,NA,NA,NA
CG13284,NA,NA,CG1824,CG15312,NA,NA,NA,NA,NA,CG4991,NA,NA,NA,NA,NA
CG13285,NA,NA,CG18258,CG15330,NA,NA,NA,NA,NA,CG4995,NA,NA,NA,NA,NA
CG13287,NA,NA,CG1827,CG15332,NA,NA,NA,NA,NA,CG5001,NA,NA,NA,NA,NA
CG13293,NA,NA,CG18301,CG15333,NA,NA,NA,NA,NA,CG5002,NA,NA,NA,NA,NA
CG13295,NA,NA,CG18302,CG15336,NA,NA,NA,NA,NA,CG5004,NA,NA,NA,NA,NA
CG13296,NA,NA,CG18335,CG15343,NA,NA,NA,NA,NA,CG5009,NA,NA,NA,NA,NA
CG13297,NA,NA,CG18336,CG15347,NA,NA,NA,NA,NA,CG5022,NA,NA,NA,NA,NA
CG13298,NA,NA,CG18343,CG15356,NA,NA,NA,NA,NA,CG5033,NA,NA,NA,NA,NA
CG13299,NA,NA,CG18367,CG15357,NA,NA,NA,NA,NA,CG5104,NA,NA,NA,NA,NA
CG13319,NA,NA,CG1840,CG15365,NA,NA,NA,NA,NA,CG5110,NA,NA,NA,NA,NA
CG13321,NA,NA,CG18404,CG15369,NA,NA,NA,NA,NA,CG5111,NA,NA,NA,NA,NA
CG13323,NA,NA,CG18417,CG1537,NA,NA,NA,NA,NA,CG5112,NA,NA,NA,NA,NA
CG13326,NA,NA,CG18467,CG15375,NA,NA,NA,NA,NA,CG5126,NA,NA,NA,NA,NA
CG13330,NA,NA,CG1847,CG15385,NA,NA,NA,NA,NA,CG5150,NA,NA,NA,NA,NA
CG13334,NA,NA,CG18472,CG15386,NA,NA,NA,NA,NA,CG5204,NA,NA,NA,NA,NA
CG13339,NA,NA,CG18480,CG15390,NA,NA,NA,NA,NA,CG5246,NA,NA,NA,NA,NA
CG13344,NA,NA,CG1850,CG15394,NA,NA,NA,NA,NA,CG5254,NA,NA,NA,NA,NA
CG13359,NA,NA,CG18507,CG15395,NA,NA,NA,NA,NA,CG5262,NA,NA,NA,NA,NA
CG13360,NA,NA,CG18508,CG15403,NA,NA,NA,NA,NA,CG5267,NA,NA,NA,NA,NA
CG13361,NA,NA,CG18558,CG15404,NA,NA,NA,NA,NA,CG5273,NA,NA,NA,NA,NA
CG13362,NA,NA,CG18568,CG15406,NA,NA,NA,NA,NA,CG5285,NA,NA,NA,NA,NA
CG13365,NA,NA,CG18605,CG15412,NA,NA,NA,NA,NA,CG5321,NA,NA,NA,NA,NA
CG13366,NA,NA,CG18622,CG1542,NA,NA,NA,NA,NA,CG5339,NA,NA,NA,NA,NA
CG13367,NA,NA,CG18636,CG15425,NA,NA,NA,NA,NA,CG5381,NA,NA,NA,NA,NA
CG13369,NA,NA,CG18731,CG15429,NA,NA,NA,NA,NA,CG5390,NA,NA,NA,NA,NA
CG13377,NA,NA,CG18744,CG1544,NA,NA,NA,NA,NA,CG5397,NA,NA,NA,NA,NA
CG13380,NA,NA,CG18745,CG15471,NA,NA,NA,NA,NA,CG5439,NA,NA,NA,NA,NA
CG13384,NA,NA,CG18746,CG15472,NA,NA,NA,NA,NA,CG5482,NA,NA,NA,NA,NA
CG13385,NA,NA,CG18747,CG15498,NA,NA,NA,NA,NA,CG5493,NA,NA,NA,NA,NA
CG13390,NA,NA,CG18748,CG1550,NA,NA,NA,NA,NA,CG5541,NA,NA,NA,NA,NA
CG13392,NA,NA,CG18766,CG15514,NA,NA,NA,NA,NA,CG5549,NA,NA,NA,NA,NA
CG13397,NA,NA,CG18808,CG1552,NA,NA,NA,NA,NA,CG5569,NA,NA,NA,NA,NA
CG13398,NA,NA,CG1882,CG15528,NA,NA,NA,NA,NA,CG5592,NA,NA,NA,NA,NA
CG1340,NA,NA,CG1888,CG15529,NA,NA,NA,NA,NA,CG5604,NA,NA,NA,NA,NA
CG13403,NA,NA,CG1890,CG15531,NA,NA,NA,NA,NA,CG5611,NA,NA,NA,NA,NA
CG13404,NA,NA,CG1896,CG15533,NA,NA,NA,NA,NA,CG5612,NA,NA,NA,NA,NA
CG13405,NA,NA,CG1902,CG15535,NA,NA,NA,NA,NA,CG5621,NA,NA,NA,NA,NA
CG13423,NA,NA,CG1907,CG15536,NA,NA,NA,NA,NA,CG5646,NA,NA,NA,NA,NA
CG13426,NA,NA,CG1924,CG15543,NA,NA,NA,NA,NA,CG5687,NA,NA,NA,NA,NA
CG13427,NA,NA,CG1927,CG15546,NA,NA,NA,NA,NA,CG5707,NA,NA,NA,NA,NA
CG13436,NA,NA,CG1941,CG15548,NA,NA,NA,NA,NA,CG5731,NA,NA,NA,NA,NA
CG13437,NA,NA,CG1946,CG15549,NA,NA,NA,NA,NA,CG5757,NA,NA,NA,NA,NA
CG13438,NA,NA,CG1958,CG15556,NA,NA,NA,NA,NA,CG5758,NA,NA,NA,NA,NA
CG1344,NA,NA,CG1969,CG15561,NA,NA,NA,NA,NA,CG5767,NA,NA,NA,NA,NA
CG13442,NA,NA,CG1983,CG15564,NA,NA,NA,NA,NA,CG5773,NA,NA,NA,NA,NA
CG13492,NA,NA,CG1998,CG15570,NA,NA,NA,NA,NA,CG5793,NA,NA,NA,NA,NA
CG13500,NA,NA,CG2003,CG15571,NA,NA,NA,NA,NA,CG5819,NA,NA,NA,NA,NA
CG13501,NA,NA,CG2004,CG15572,NA,NA,NA,NA,NA,CG5835,NA,NA,NA,NA,NA
CG13506,NA,NA,CG2010,CG15578,NA,NA,NA,NA,NA,CG5866,NA,NA,NA,NA,NA
CG13510,NA,NA,CG2017,CG15580,NA,NA,NA,NA,NA,CG5872,NA,NA,NA,NA,NA
CG13511,NA,NA,CG2021,CG15605,NA,NA,NA,NA,NA,CG5890,NA,NA,NA,NA,NA
CG13516,NA,NA,CG2046,CG1561,NA,NA,NA,NA,NA,CG5909,NA,NA,NA,NA,NA
CG13526,NA,NA,CG2053,CG15611,NA,NA,NA,NA,NA,CG5958,NA,NA,NA,NA,NA
CG13531,NA,NA,CG2059,CG15617,NA,NA,NA,NA,NA,CG5966,NA,NA,NA,NA,NA
CG13538,NA,NA,CG2100,CG15625,NA,NA,NA,NA,NA,CG5973,NA,NA,NA,NA,NA
CG13539,NA,NA,CG2118,CG15628,NA,NA,NA,NA,NA,CG5987,NA,NA,NA,NA,NA
CG1354,NA,NA,CG2120,CG15630,NA,NA,NA,NA,NA,CG6041,NA,NA,NA,NA,NA
CG13541,NA,NA,CG2121,CG15631,NA,NA,NA,NA,NA,CG6067,NA,NA,NA,NA,NA
CG13544,NA,NA,CG2126,CG15651,NA,NA,NA,NA,NA,CG6073,NA,NA,NA,NA,NA
CG13551,NA,NA,CG2137,CG15657,NA,NA,NA,NA,NA,CG6142,NA,NA,NA,NA,NA
CG13557,NA,NA,CG2144,CG15661,NA,NA,NA,NA,NA,CG6144,NA,NA,NA,NA,NA
CG13558,NA,NA,CG2145,CG15666,NA,NA,NA,NA,NA,CG6191,NA,NA,NA,NA,NA
CG13562,NA,NA,CG2147,CG15673,NA,NA,NA,NA,NA,CG6220,NA,NA,NA,NA,NA
CG13563,NA,NA,CG2157,CG15674,NA,NA,NA,NA,NA,CG6230,NA,NA,NA,NA,NA
CG13564,NA,NA,CG2162,CG15676,NA,NA,NA,NA,NA,CG6271,NA,NA,NA,NA,NA
CG13566,NA,NA,CG2200,CG15705,NA,NA,NA,NA,NA,CG6330,NA,NA,NA,NA,NA
CG13579,NA,NA,CG2224,CG15706,NA,NA,NA,NA,NA,CG6337,NA,NA,NA,NA,NA
CG1358,NA,NA,CG2233,CG15708,NA,NA,NA,NA,NA,CG6357,NA,NA,NA,NA,NA
CG13581,NA,NA,CG2254,CG15710,NA,NA,NA,NA,NA,CG6401,NA,NA,NA,NA,NA
CG13585,NA,NA,CG2267,CG15711,NA,NA,NA,NA,NA,CG6403,NA,NA,NA,NA,NA
CG13587,NA,NA,CG2277,CG15719,NA,NA,NA,NA,NA,CG6415,NA,NA,NA,NA,NA
CG13590,NA,NA,CG2292,CG1572,NA,NA,NA,NA,NA,CG6441,NA,NA,NA,NA,NA
CG1360,NA,NA,CG2444,CG15721,NA,NA,NA,NA,NA,CG6484,NA,NA,NA,NA,NA
CG13650,NA,NA,CG2453,CG15728,NA,NA,NA,NA,NA,CG6488,NA,NA,NA,NA,NA
CG13653,NA,NA,CG2469,CG15734,NA,NA,NA,NA,NA,CG6495,NA,NA,NA,NA,NA
CG13658,NA,NA,CG2540,CG15735,NA,NA,NA,NA,NA,CG6523,NA,NA,NA,NA,NA
CG13663,NA,NA,CG2543,CG15739,NA,NA,NA,NA,NA,CG6565,NA,NA,NA,NA,NA
CG13670,NA,NA,CG2556,CG1575,NA,NA,NA,NA,NA,CG6602,NA,NA,NA,NA,NA
CG1368,NA,NA,CG2604,CG15756,NA,NA,NA,NA,NA,CG6700,NA,NA,NA,NA,NA
CG13689,NA,NA,CG2641,CG15764,NA,NA,NA,NA,NA,CG6724,NA,NA,NA,NA,NA
CG13690,NA,NA,CG2656,CG15766,NA,NA,NA,NA,NA,CG6812,NA,NA,NA,NA,NA
CG13693,NA,NA,CG2658,CG15771,NA,NA,NA,NA,NA,CG6845,NA,NA,NA,NA,NA
CG13698,NA,NA,CG2663,CG15773,NA,NA,NA,NA,NA,CG6852,NA,NA,NA,NA,NA
CG13699,NA,NA,CG2680,CG15784,NA,NA,NA,NA,NA,CG6870,NA,NA,NA,NA,NA
CG13700,NA,NA,CG2681,CG15803,NA,NA,NA,NA,NA,CG7110,NA,NA,NA,NA,NA
CG13704,NA,NA,CG2698,CG15820,NA,NA,NA,NA,NA,CG7131,NA,NA,NA,NA,NA
CG13705,NA,NA,CG2736,CG15822,NA,NA,NA,NA,NA,CG7173,NA,NA,NA,NA,NA
CG13708,NA,NA,CG2767,CG15829,NA,NA,NA,NA,NA,CG7214,NA,NA,NA,NA,NA
CG1371,NA,NA,CG2781,CG15865,NA,NA,NA,NA,NA,CG7295,NA,NA,NA,NA,NA
CG13711,NA,NA,CG2811,CG15873,NA,NA,NA,NA,NA,CG7328,NA,NA,NA,NA,NA
CG13712,NA,NA,CG2812,CG15877,NA,NA,NA,NA,NA,CG7329,NA,NA,NA,NA,NA
CG13716,NA,NA,CG2816,CG15878,NA,NA,NA,NA,NA,CG7365,NA,NA,NA,NA,NA
CG13720,NA,NA,CG2818,CG15879,NA,NA,NA,NA,NA,CG7376,NA,NA,NA,NA,NA
CG13721,NA,NA,CG2837,CG15881,NA,NA,NA,NA,NA,CG7461,NA,NA,NA,NA,NA
CG13741,NA,NA,CG2841,CG15905,NA,NA,NA,NA,NA,CG7514,NA,NA,NA,NA,NA
CG13742,NA,NA,CG2846,CG15908,NA,NA,NA,NA,NA,CG7546,NA,NA,NA,NA,NA
CG13744,NA,NA,CG2862,CG15912,NA,NA,NA,NA,NA,CG7567,NA,NA,NA,NA,NA
CG13747,NA,NA,CG2887,CG15919,NA,NA,NA,NA,NA,CG7593,NA,NA,NA,NA,NA
CG13749,NA,NA,CG2901,CG15925,NA,NA,NA,NA,NA,CG7627,NA,NA,NA,NA,NA
CG13751,NA,NA,CG2906,CG1602,NA,NA,NA,NA,NA,CG7646,NA,NA,NA,NA,NA
CG13759,NA,NA,CG2909,CG1607,NA,NA,NA,NA,NA,CG7685,NA,NA,NA,NA,NA
CG13766,NA,NA,CG2911,CG1620,NA,NA,NA,NA,NA,CG7694,NA,NA,NA,NA,NA
CG13773,NA,NA,CG2918,CG1622,NA,NA,NA,NA,NA,CG7695,NA,NA,NA,NA,NA
CG13775,NA,NA,CG2921,CG1628,NA,NA,NA,NA,NA,CG7708,NA,NA,NA,NA,NA
CG13784,NA,NA,CG2930,CG1632,NA,NA,NA,NA,NA,CG7720,NA,NA,NA,NA,NA
CG13796,NA,NA,CG2931,CG1635,NA,NA,NA,NA,NA,CG7763,NA,NA,NA,NA,NA
CG13806,NA,NA,CG2972,CG1636,NA,NA,NA,NA,NA,CG7781,NA,NA,NA,NA,NA
CG13807,NA,NA,CG2974,CG1648,NA,NA,NA,NA,NA,CG7798,NA,NA,NA,NA,NA
CG13813,NA,NA,CG2975,CG1657,NA,NA,NA,NA,NA,CG7806,NA,NA,NA,NA,NA
CG13868,NA,NA,CG2982,CG1662,NA,NA,NA,NA,NA,CG7818,NA,NA,NA,NA,NA
CG13869,NA,NA,CG2983,CG16700,NA,NA,NA,NA,NA,CG7824,NA,NA,NA,NA,NA
CG1387,NA,NA,CG2990,CG16704,NA,NA,NA,NA,NA,CG7848,NA,NA,NA,NA,NA
CG13870,NA,NA,CG2991,CG16713,NA,NA,NA,NA,NA,CG7856,NA,NA,NA,NA,NA
CG13871,NA,NA,CG2993,CG16716,NA,NA,NA,NA,NA,CG7879,NA,NA,NA,NA,NA
CG13872,NA,NA,CG30002,CG16721,NA,NA,NA,NA,NA,CG7882,NA,NA,NA,NA,NA
CG13876,NA,NA,CG30008,CG16739,NA,NA,NA,NA,NA,CG7912,NA,NA,NA,NA,NA
CG13877,NA,NA,CG30010,CG16741,NA,NA,NA,NA,NA,CG7956,NA,NA,NA,NA,NA
CG13884,NA,NA,CG30015,CG16753,NA,NA,NA,NA,NA,CG7970,NA,NA,NA,NA,NA
CG13887,NA,NA,CG30033,CG16758,NA,NA,NA,NA,NA,CG7971,NA,NA,NA,NA,NA
CG13890,NA,NA,CG30039,CG16762,NA,NA,NA,NA,NA,CG8004,NA,NA,NA,NA,NA
CG13891,NA,NA,CG30046,CG16771,NA,NA,NA,NA,NA,CG8008,NA,NA,NA,NA,NA
CG13893,NA,NA,CG30047,CG16772,NA,NA,NA,NA,NA,CG8026,NA,NA,NA,NA,NA
CG13894,NA,NA,CG30054,CG16781,NA,NA,NA,NA,NA,CG8079,NA,NA,NA,NA,NA
CG13895,NA,NA,CG30065,CG16782,NA,NA,NA,NA,NA,CG8080,NA,NA,NA,NA,NA
CG13896,NA,NA,CG30069,CG16787,NA,NA,NA,NA,NA,CG8083,NA,NA,NA,NA,NA
CG13898,NA,NA,CG3008,CG16791,NA,NA,NA,NA,NA,CG8086,NA,NA,NA,NA,NA
CG13900,NA,NA,CG30083,CG16799,NA,NA,NA,NA,NA,CG8204,NA,NA,NA,NA,NA
CG13901,NA,NA,CG30090,CG16800,NA,NA,NA,NA,NA,CG8245,NA,NA,NA,NA,NA
CG13902,NA,NA,CG30091,CG16812,NA,NA,NA,NA,NA,CG8272,NA,NA,NA,NA,NA
CG13905,NA,NA,CG30094,CG16820,NA,NA,NA,NA,NA,CG8299,NA,NA,NA,NA,NA
CG13907,NA,NA,CG30098,CG16825,NA,NA,NA,NA,NA,CG8306,NA,NA,NA,NA,NA
CG13912,NA,NA,CG30100,CG16826,NA,NA,NA,NA,NA,CG8320,NA,NA,NA,NA,NA
CG13917,NA,NA,CG30108,CG16833,NA,NA,NA,NA,NA,CG8323,NA,NA,NA,NA,NA
CG13919,NA,NA,CG3011,CG16837,NA,NA,NA,NA,NA,CG8366,NA,NA,NA,NA,NA
CG13920,NA,NA,CG30110,CG16852,NA,NA,NA,NA,NA,CG8398,NA,NA,NA,NA,NA
CG13921,NA,NA,CG30116,CG16853,NA,NA,NA,NA,NA,CG8419,NA,NA,NA,NA,NA
CG13924,NA,NA,CG30120,CG16854,NA,NA,NA,NA,NA,CG8435,NA,NA,NA,NA,NA
CG13926,NA,NA,CG30148,CG16863,NA,NA,NA,NA,NA,CG8468,NA,NA,NA,NA,NA
CG13928,NA,NA,CG30151,CG16865,NA,NA,NA,NA,NA,CG8475,NA,NA,NA,NA,NA
CG13930,NA,NA,CG30154,CG1688,NA,NA,NA,NA,NA,CG8485,NA,NA,NA,NA,NA
CG13933,NA,NA,CG30157,CG16894,NA,NA,NA,NA,NA,CG8525,NA,NA,NA,NA,NA
CG13937,NA,NA,CG30159,CG1690,NA,NA,NA,NA,NA,CG8539,NA,NA,NA,NA,NA
CG13955,NA,NA,CG30172,CG16903,NA,NA,NA,NA,NA,CG8547,NA,NA,NA,NA,NA
CG13962,NA,NA,CG30184,CG16926,NA,NA,NA,NA,NA,CG8550,NA,NA,NA,NA,NA
CG13982,NA,NA,CG30195,CG16947,NA,NA,NA,NA,NA,CG8569,NA,NA,NA,NA,NA
CG13983,NA,NA,CG30196,CG1698,NA,NA,NA,NA,NA,CG8586,NA,NA,NA,NA,NA
CG13984,NA,NA,CG30197,CG16984,NA,NA,NA,NA,NA,CG8635,NA,NA,NA,NA,NA
CG13989,NA,NA,CG3021,CG16985,NA,NA,NA,NA,NA,CG8646,NA,NA,NA,NA,NA
CG13991,NA,NA,CG30259,CG16986,NA,NA,NA,NA,NA,CG8673,NA,NA,NA,NA,NA
CG13992,NA,NA,CG30265,CG16995,NA,NA,NA,NA,NA,CG8740,NA,NA,NA,NA,NA
CG13994,NA,NA,CG30269,CG1703,NA,NA,NA,NA,NA,CG8777,NA,NA,NA,NA,NA
CG13996,NA,NA,CG30280,CG17030,NA,NA,NA,NA,NA,CG8814,NA,NA,NA,NA,NA
CG13999,NA,NA,CG30281,CG17048,NA,NA,NA,NA,NA,CG8840,NA,NA,NA,NA,NA
CG14005,NA,NA,CG30283,CG17098,NA,NA,NA,NA,NA,CG8850,NA,NA,NA,NA,NA
CG14011,NA,NA,CG30285,CG17104,NA,NA,NA,NA,NA,CG8852,NA,NA,NA,NA,NA
CG14013,NA,NA,CG30287,CG17118,NA,NA,NA,NA,NA,CG8888,NA,NA,NA,NA,NA
CG14014,NA,NA,CG30291,CG17134,NA,NA,NA,NA,NA,CG8910,NA,NA,NA,NA,NA
CG14017,NA,NA,CG30323,CG17140,NA,NA,NA,NA,NA,CG8950,NA,NA,NA,NA,NA
CG14020,NA,NA,CG30338,CG17145,NA,NA,NA,NA,NA,CG9008,NA,NA,NA,NA,NA
CG14036,NA,NA,CG30339,CG17163,NA,NA,NA,NA,NA,CG9044,NA,NA,NA,NA,NA
CG14042,NA,NA,CG30344,CG17168,NA,NA,NA,NA,NA,CG9065,NA,NA,NA,NA,NA
CG14043,NA,NA,CG30345,CG17180,NA,NA,NA,NA,NA,CG9068,NA,NA,NA,NA,NA
