gene_name,min_residue,first_quantile,median_residue,third_quantile,max_residue,res_std_err,r_square,adj_r_square,model_pvalue,f_stats,numdf,dendf
128up,-0.844986516958213,-0.113613847890043,-0.0134185052841809,0.153908774878027,0.598386538530936,0.294378610693373,0.950396291364863,0.927144552942143,1.34847763479718e-16,40.8742036438956,15,32
14-3-3epsilon,-1.23623509019901,-0.249590494505348,0.00262696772003041,0.198055156719205,1.29957336764131,0.539992555703103,0.636513420814543,0.46612908682136,0.000851514533765835,3.73575085160123,15,32
4E-T,-6.77599690849471,-0.506776687366451,0.121738653227826,0.431794507149023,7.0267025330274,2.85317356973113,0.465610881649811,0.215115982423161,0.0692381137865215,1.8587639232866,15,32
5-HT1B,-5.08382011399991,-2.50893277784493,4.9960036108132e-16,1.38777878078145e-15,6.81656651810435,3.26014287217884,0.283702279153169,-0.0520622774937824,0.625056614307529,0.844944094118532,15,32
5-HT2A,-5.85503951049354,-0.284166726479553,-3.22658566531686e-16,0.0363594880452566,7.25248036712228,3.23027655357099,0.639261475648411,0.470165292358603,0.00077330334140954,3.78046070119043,15,32
5-HT7,-6.7182215442912,-2.65577146466849,2.22044604925031e-16,2.75817124980507,6.92482254513211,4.11127843509349,0.325084183564693,0.00871739461064358,0.454407001182511,1.02755470837968,15,32
7B2,-0.706539521253893,-0.262689876243153,-0.11459462503139,0.292605292697222,0.779137252607528,0.47217681907865,0.87751176414265,0.820095403584517,1.58753328981218e-10,15.2833052393523,15,32
a5,-8.13670952966101,-0.0393801548770803,-1.66533453693773e-16,1.92901250528621e-15,7.55118841088777,3.24625493853636,0.773281739747374,0.667007555253956,1.40873857743097e-06,7.27628956583774,15,32
a6,-6.9672183795079,-0.0910715377321493,8.58662724137351e-16,0.0936785913770995,6.71969020229037,2.108025700411,0.928366862873195,0.894788829845005,4.18258999803629e-14,27.648041863971,15,32
Aac11,-0.849809727707967,-0.188861284170877,-0.0279540508937221,0.249873496096131,0.576268574838928,0.353860957556481,0.657473269582749,0.496913864699662,0.0003977164982835,4.0948910470956,15,32
AANATL2,-8.2083644055917,-0.186357272580792,1.45716771982052e-16,0.210988535616546,7.6265382069851,2.44913082224452,0.878967184758178,0.822233052613574,1.32439558608459e-10,15.492740463851,15,32
Aatf,-0.504714005901821,-0.206524534746119,-0.000925531815397603,0.210200259935533,0.544418615632961,0.347781901225943,0.94051038403119,0.912624626545811,2.31749860984961e-15,33.7272668502658,15,32
ab,-6.83725890110688,-0.84821270606715,0.00649127742701979,2.19790962967207,6.3955702341645,3.86601362790754,0.510255905167697,0.280688360715055,0.028431798443291,2.22268311657164,15,32
abd-A,-7.31098067371227,-0.466665979269127,6.66133814775094e-16,0.415703916833343,7.61076607390497,4.00446852942855,0.555856407442297,0.347664098430874,0.0096417320278017,2.66991806797146,15,32
Abd-B,-6.69981730763793,-0.493581846016651,-9.99200722162641e-16,0.54404967842127,7.24848999636962,3.63348133910633,0.581056490440725,0.384676720334815,0.00487732776165075,2.95884087310701,15,32
abo,-7.2067702811499,-0.407528872124998,0.0627128406512615,0.530679668908217,3.76478787494163,2.19532271205816,0.413578695048947,0.138693708353141,0.161977977632197,1.50455177643668,15,32
Ac3,-6.78623468966142,-2.69240993396682,5.01502504127726e-17,0.389007241284111,6.92448340060144,3.79645641459576,0.492623338205392,0.25479052798917,0.0411757341579,2.07130100240388,15,32
Ac76E,-7.90349469494231,-0.305851518805398,0.0884520055554287,0.510595932005302,4.17633422401361,2.32492002339248,0.279372716202835,-0.058421323077086,0.642639624082306,0.827050461868352,15,32
Ac78C,-5.28290766108845,-2.32735798107481,-4.9960036108132e-16,0.0778954085919785,6.18419775842591,3.1185094573059,0.580238259412297,0.383474943511811,0.00499152129087231,2.94891482569726,15,32
Acam,-3.85913382805153,-3.38842889141621,-1.74427304758393e-16,6.05452335247569e-16,7.71826765610306,4.14522431471283,0.219824103870725,-0.145883347439872,0.85204278910746,0.601092767136504,15,32
ACC,-0.693781868544995,-0.22149185375009,0.00221789783890255,0.189460803329417,0.654015747270829,0.383278504740854,0.964031076494639,0.947170643601501,8.59351542506912e-19,57.1771248463606,15,32
AcCoAS,-7.02739638468626,-0.171036891471055,-0.0230805276415546,0.301705221519552,4.50586097925588,1.64816476105339,0.633760109865088,0.462085161364348,0.000936862868220949,3.69162836744557,15,32
Acer,-1.05939551716707,-0.272652436119894,0.0351573085725657,0.185380312836091,1.67030253557754,0.540684417559545,0.863086752614138,0.798908667902015,8.52749480153196e-10,13.4483095979819,15,32
Acf,-5.95205248873429,-0.318642659704399,0.055918541161819,0.347245596460513,3.35294330328327,1.3939953380195,0.653089528210778,0.490475244559581,0.00046876874971806,4.01618796053386,15,32
achi,-7.70333480858952,-0.367668684773001,0.10542475208537,0.373310914786632,7.11394417441106,2.77867536487009,0.460461832525012,0.207553316521111,0.0759692669851036,1.82066559007412,15,32
Ack,-0.794664565064031,-0.206853817653225,-0.0178473746200953,0.224815594858771,0.729818280070857,0.403382963580939,0.869310758653368,0.808050176772135,4.23047065486264e-10,14.1903771064191,15,32
Ack-like,-1.78922763509675,-0.273083121037328,0.0437394181593804,0.350237838733783,1.03428312359849,0.578190514288324,0.699358845566326,0.558433304425541,7.09218170779853e-05,4.96261245410203,15,32
Acn,-1.19274105156056,-0.217155397692976,0.0389355412652094,0.245627681967838,0.984192742585651,0.536715427521668,0.809955453180678,0.72087207185912,1.10463244527182e-07,9.09210496015013,15,32
Acox57D-d,-6.98852166439236,-0.431836677401773,0.0876283837659806,2.58598381181134,6.80419726264546,3.99429824433688,0.563325126390942,0.358633779386696,0.00793054261865843,2.75207103102046,15,32
Acox57D-p,-1.09329104910989,-0.199403680201717,0.0146243202686344,0.168956922223799,1.06896905955754,0.538297542382236,0.83671590861593,0.760176490779648,1.18443269144032e-08,10.9318300591946,15,32
Acp1,-4.37006251732472,-0.31098683724911,-9.71445146547012e-17,0.187695871713327,8.74012503464944,3.36256394588797,0.869138436766221,0.807797079000387,4.31543430075368e-10,14.1688816228048,15,32
Acp24A4,-7.88087381756249,-0.931344181347779,-7.21644966006352e-16,1.80411241501588e-15,8.55940411163984,4.56661937616129,0.355323411274024,0.0531312603087229,0.33762418800403,1.17581945837774,15,32
Acp26Aa,-3.28185631809462e-14,-7.09974814698911e-30,-1.57772181044202e-30,7.29696337329436e-30,1.64092815904731e-14,7.105427357601e-15,0.486973947895791,0.246492985971944,0.0461186048870782,2.025,15,32
Acp26Ab,-3.28185631809462e-14,-7.09974814698911e-30,-1.57772181044202e-30,7.29696337329436e-30,1.64092815904731e-14,7.105427357601e-15,0.486973947895791,0.246492985971944,0.0461186048870782,2.025,15,32
Acp29AB,-3.66040724526291,-8.0564261447846e-17,-3.06789647562496e-17,2.61199634449766e-17,7.32081449052582,1.58500283129715,0.319148936170213,0,0.478585464409722,1,15,32
Acp32CD,-3.15903421444182,-2.09639113192292e-16,-5.68413893609652e-17,4.39470911951779e-17,6.31806842888363,2.359467270917,0.288890136683839,-0.0444426117456111,0.603792569568594,0.86667193081085,15,32
Acp33A,-3.28185631809462e-14,-7.09974814698911e-30,-1.57772181044202e-30,7.29696337329436e-30,1.64092815904731e-14,7.105427357601e-15,0.486973947895791,0.246492985971944,0.0461186048870782,2.025,15,32
Acp36DE,-2.73696904433688,-2.31057115042737e-16,-3.30257735080183e-17,1.62995507116425e-16,5.47393808867376,1.6759753363702,0.304347826138319,-0.0217391303593439,0.539747393348588,0.933333333559756,15,32
Acp53C14a,-3.28185631809462e-14,-7.09974814698911e-30,-1.57772181044202e-30,7.29696337329436e-30,1.64092815904731e-14,7.105427357601e-15,0.486973947895791,0.246492985971944,0.0461186048870782,2.025,15,32
Acp53C14b,-3.28185631809462e-14,-7.09974814698911e-30,-1.57772181044202e-30,7.29696337329436e-30,1.64092815904731e-14,7.105427357601e-15,0.486973947895791,0.246492985971944,0.0461186048870782,2.025,15,32
Acp53C14c,-3.28185631809462e-14,-7.09974814698911e-30,-1.57772181044202e-30,7.29696337329436e-30,1.64092815904731e-14,7.105427357601e-15,0.486973947895791,0.246492985971944,0.0461186048870782,2.025,15,32
Acp53Ea,-3.59139902202084,-1.65222825707458e-15,-8.47729967764716e-17,1.81466728657354e-15,7.18279804404168,1.55512139409832,0.319148936170213,8.88178419700125e-16,0.47858546440972,1,15,32
Acp63F,-7.75209012610753,-0.466681802802873,1.55431223447522e-15,0.529395272007007,9.1912153174,4.34180660016984,0.701366852891255,0.561382565184031,6.47976578165313e-05,5.01032554709395,15,32
Acp65Aa,-1.4543461208645,-4.44089209850063e-16,1.66533453693773e-16,0.17588043825524,0.972544237905791,0.556598883043405,0.996393842435656,0.99470345607737,1.09555990366013e-34,589.447399141234,15,32
Acp76A,-6.58529939210953,-6.60768690309233e-16,6.63447145461937e-17,2.65996317819894e-16,7.00760965224106,2.89670889238656,0.400951718791628,0.120147836975203,0.193532516394333,1.42787099735947,15,32
Acph-1,-0.509105033141838,-0.221601197081206,-0.0153917738224345,0.187436441189743,0.714556785837496,0.353174612144425,0.890652128952982,0.839395314399692,2.82657443200911e-11,17.3762676575815,15,32
Acsl,-1.03314772423052,-0.192645310729509,-0.0483527691034425,0.202088172276522,0.953150844644803,0.463126562666262,0.914872696140729,0.874969272456696,6.05452927800661e-13,22.9271729509967,15,32
Act42A,-7.59317532022612,-0.359824489207912,0.0879987435643945,0.514761818044205,4.44579995803441,2.85721338501793,0.357688927461236,0.0566056122086898,0.329090057073586,1.18800647309602,15,32
Actn3,-6.88129439268647,-0.0102056475861686,2.72944767436016e-16,0.0397825840138481,6.65465630045126,2.93342628119443,0.760067632621584,0.647599335412952,3.1463625587187e-06,6.75806117355573,15,32
ACXD,-7.03365791952111,-3.11066339540154,0.16261606585442,3.06375673462934,6.85570642410406,4.68187539497693,0.257439004671873,-0.0906364618881863,0.728154715275591,0.739606865189543,15,32
ACXE,-6.54227143512014,-0.00254910526948552,-4.99369119820591e-16,2.2614872388932e-15,7.34369932968549,3.56576978823435,0.507887059318564,0.277209118374141,0.0299264292872608,2.20171489843898,15,32
Acyp,-7.40245908211466,-7.61418062898989e-16,-2.52811077524849e-17,1.98563466571896e-15,7.90556690919535,3.55930422061998,0.43154846945362,0.165086814510005,0.123410497930221,1.61955186214293,15,32
Ada2a,-7.13186356031058,-0.781265242324145,9.29811783123569e-16,1.06336118504953,7.18755231602339,3.68679994790724,0.538321404491221,0.321909562846481,0.0149394870569883,2.48748589910771,15,32
Adat1,-3.28185631809462e-14,-7.09974814698911e-30,-1.57772181044202e-30,7.29696337329436e-30,1.64092815904731e-14,7.105427357601e-15,0.486973947895791,0.246492985971944,0.0461186048870782,2.025,15,32
Adck,-7.1138411362091,-0.547506043089967,0.209746966698761,1.18763053020697,6.72927854095477,3.8869798763722,0.461997028770335,0.20980813600643,0.0739118374669826,1.83194836103606,15,32
ADD1,-7.03598253535115,-0.239826315972067,0.0113326714758595,0.323760329960148,3.70946899277968,2.50954517602595,0.364475040794885,0.0665727161674881,0.305193972336017,1.2234716236295,15,32
ade2,-0.744135690676778,-0.2000441999271,0.00263461229188041,0.173514738120465,0.74382200269524,0.432515842082508,0.840944280253104,0.766386911621747,8.02388476258376e-09,11.2791571871465,15,32
ade3,-0.729893524034983,-0.135188489607518,0.00282493816826611,0.203666282566365,0.66752498316857,0.433847478075643,0.872877022698493,0.813288127088412,2.78539112361662e-10,14.6483168342328,15,32
ade5,-1.40971607493262,-0.229842134895654,-0.020528505638168,0.338905849257972,1.29979230472943,0.591983274609507,0.756216382064437,0.641942811157142,3.93835224366076e-06,6.61759649287516,15,32
Adf1,-6.64031778536894,-1.5034176017741,-3.60822483003176e-16,0.468953273030288,7.78162592162545,4.06208441117062,0.539468621410239,0.323594537696288,0.0145301645324243,2.49899669348487,15,32
Adgf-E,-6.59092633637824,-2.65470669655738e-15,-1.15360357120603e-16,1.7062898739377e-14,6.78971695400115,2.80558074924493,0.745909012977285,0.626803862810387,7.04038919839051e-06,6.26260923169207,15,32
Adh,-1.04396425773418,-0.294744517183813,0.00413211425100756,0.238529530208405,0.990442562556096,0.538093077369257,0.906055871573653,0.862019561373803,2.76287853055338e-12,20.5751995901042,15,32
Adhr,-3.2657125529054,-5.09251960071295e-16,-5.86134913672401e-17,3.3896793654483e-16,6.53142510581081,1.99725674853581,0.304347876450295,-0.0217390564636291,0.539747184371885,0.933333555351733,15,32
AdoR,-7.22761879454731,-0.636863689637362,0.0412319830006717,3.01596099882627,6.86159305356321,4.35668596606616,0.390199705599542,0.104355817599327,0.223332989162714,1.36507975849828,15,32
adp,-1.53512218702427,-0.333366815307494,0.0322946655515918,0.286925440638656,1.62254307383213,0.756299181622945,0.577060200645645,0.378807169698291,0.00545737146572478,2.91072574218996,15,32
ADPS,-8.23740377141613,-0.235361462417012,0.0425808890567168,0.236492937915945,4.46046457197323,1.84149705964328,0.286614633873607,-0.0477847564981397,0.613142180917705,0.857102740393701,15,32
AdSL,-0.799702604475087,-0.152062885126492,0.0770743805701534,0.197302402383887,0.487768070095563,0.346583168013163,0.902103259146503,0.856214161871426,5.20259653289494e-12,19.6583352629265,15,32
Ady43A,-1.34796677298268,-0.163601843462203,0.035834799124058,0.135494151641557,0.735167905278782,0.415737796594504,0.935684357998407,0.905536400810161,7.82399474627398e-15,31.0364099350384,15,32
aft,-7.62827980635005,-0.477564871770667,0.0316070505556906,0.528497051322908,7.69709621168864,3.97851477751304,0.500218697552819,0.265946212030702,0.0352132419739295,2.13520036908302,15,32
Ag5r2,-3.91838850399181,-0.0983605662548662,1.17961196366423e-16,0.0779883056236692,7.83677700798362,1.75843817671934,0.942344300332725,0.915318191113689,1.42097802776455e-15,34.8679231884774,15,32
AGBE,-1.05654073585419,-0.212477438174366,-0.00655622100904702,0.176934507661246,0.665762499736324,0.35275913590131,0.960885296104354,0.942550278653271,3.22192083475214e-18,52.4071110740914,15,32
ago,-1.31973896441096,-0.195023747624509,0.00753304166854254,0.33114260005144,0.848357934337631,0.549486620314221,0.86136294591717,0.796376826815843,1.02924450359798e-09,13.2545681728452,15,32
agt,-8.41495062619841,-0.588641980502358,1.86656246015104e-15,0.619454778719658,8.26276287027721,4.24398848490842,0.594212624510824,0.403999792250273,0.00332898576782553,3.12393552763506,15,32
Ahcy,-0.675204035842466,-0.187952604666256,-0.00437169863422831,0.152710511426418,0.940274692356591,0.419378671201738,0.889607530172233,0.837861059940467,3.26767359661731e-11,17.1916562847243,15,32
AhcyL1,-8.33463178949279,-0.252751913940095,-0.00322876667128889,0.232728691235763,4.42101785206421,1.86029646100162,0.254278603411809,-0.0952783012389058,0.739828049819889,0.727431213712943,15,32
AhcyL2,-0.63256099050525,-0.208090383118836,0.00495400175408562,0.208341845470746,0.697035040923898,0.398394072305104,0.948179472324184,0.923888599976145,2.67588829448114e-16,39.0343936083767,15,32
AIMP1,-0.90398868474453,-0.1237253094209,-0.0219578595523233,0.146646500311121,0.544075520678649,0.30602032140763,0.902475497922907,0.856760887574269,4.90721460054924e-12,19.7415113251601,15,32
AIMP3,-8.76805590210398,-0.478379449356277,0.0807023059363886,0.593019413303276,8.18628355501857,3.16111539670302,0.44366297274673,0.182879991221759,0.10144449195886,1.70127272167968,15,32
Ak6,-8.4701864263679,-0.266194129932257,0.0296063230296753,0.459464506446066,4.48775267811239,3.44928568595257,0.41834290384162,0.145691140017379,0.151035708228235,1.53434878973053,15,32
Akap200,-1.05927351768824,-0.2062399041385,0.00272220542144149,0.0972730182564505,1.0297558989803,0.485412585365978,0.799504563113424,0.705522327072841,2.40642451031274e-07,8.50697532636048,15,32
Akh,-9.38602940100279,-3.55548952806462,2.77555756156289e-16,1.35432784222115,9.13069623771925,5.40568051093376,0.418698948343677,0.146214080379775,0.150238970613518,1.53659522993822,15,32
