gene_name,Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
dsb,0.5584041101944,0.85685171369879,0.707566244232446,0.00459702090245704,0.538697173374151,0.706681515801888,0.315447700357205,0.00719215390056365,0.774159404675681,0.891056882396351,0.0294328451271318,0.326052279292195,0.920748094092391,0.49747240783941,0.0715935098858048,0.504923272609975
Dscam1,0.0046825497234259,0.155138632298522,0.191731321304419,0.024194627081751,0.0437752475249209,0.926708071500986,0.0454834026515314,0.373954102742349,0.321961906702277,0.296974598993929,0.159112322994821,0.357051557806086,0.858862743429212,0.213853905172695,0.476443978447534,0.702029611205742
Dscam3,0.0683717726661138,0.971157980045573,0.411941563732427,0.577891683074196,0.231085575012758,0.972283803351331,0.448546164009019,0.181812161800375,0.928340206774313,0.647931120189311,0.797273768495631,0.95924434280887,0.97067294914808,0.605054456882478,0.714019698182336,0.522927169130919
dsd,0.208906951157236,0.994365953024173,0.8746897305601,0.00764765935180894,0.791905776137693,0.970716282839866,0.363163205414013,0.847168068781752,0.931310977026093,0.91629086885159,0.934428110114981,0.933526569772692,0.986365242116136,0.464447897182222,0.610226017363157,0.397989968068603
dsf,9.18694668257395e-15,0.999999999999984,0.999999999999983,0.999999999999985,0.999999999999984,0.999999999999989,0.999999999999989,0.999999999999989,0.999999999999988,0.0540481854543922,0.999999999999989,0.999999999999992,0.166955585875865,0.999999999999992,0.166955585875866,0.324812713651102
Dsk,3.49208660956222e-05,0.999999999999992,0.999999999999993,0.999999999999993,0.999999999999993,0.37693786812178,0.999999999999995,0.279178119390428,0.999999999999995,0.999999999999995,0.999999999999995,0.167604681784779,0.996719383853094,0.999999999999997,0.989768070658629,0.995084510988421
dtn,0.657002907533393,0.931148527561027,0.857439592427354,0.653276081747182,0.8632126097048,0.971548410352135,0.836969308677832,0.769638512345311,0.752071443545028,0.969715704755283,0.0240810925540339,0.764894132787251,0.975205893511354,0.894510367016353,0.967613738817548,0.943737981314353
DUBAI,0.486257725577445,0.786870128365522,0.890472188207127,0.493427100709767,0.84592431417966,0.845369901763522,0.951680170310456,0.929085629421986,0.321449711369557,0.963450892793783,0.801328733449336,0.888216647164884,0.459899192901654,0.892162839071672,0.420630725212759,0.517989930154855
Duox,2.8966272136627e-13,0.867846194611927,0.230199550712859,0.00640688020936414,0.00197174121268089,0.926701219165751,0.916624104599386,0.324418887268165,0.529626295671632,0.570219759055474,0.131624137673813,0.659652137074858,0.583583190048485,0.184128557196962,0.606997402418551,0.182506075847949
dup,0.0373396842848392,0.964911954667226,0.656074536972388,0.101959748686474,0.12892725656884,0.975185901335164,0.935338732580007,0.89356103997458,0.952935139748849,0.761061764382005,0.371610782116192,0.884482473826174,0.888643292814112,0.280000873227891,0.937096254278333,0.457660263403192
