gene_name,Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
Ack,3.9330300899228e-17,1,1,1,1,0.244503132023907,1,1,1,1,1,1,1,1,0.000847622612965095,1,1,1,1,1,1,1,1,1,1,0.296589558335732,1,1,1,1,1,1
Ack-like,3.11578964964276e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,0.029939993003279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acn,9.06866125241918e-18,1,1,1,1,0.00634932707376778,1,1,1,1,1,1,1,1,0.0660364431483194,1,1,1,1,1,1,1,1,1,1,0.374143084396883,1,1,1,1,1,1
Acox57D-d,0.668307580238631,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acox57D-p,1.20647536768894e-20,1,1,1,0.508488003323018,1,1,1,1,1,1,1,1,1,0.0795788807805442,1,1,1,1,1,1,1,1,1,1,0.558693693169704,1,1,1,1,1,1
Acp1,0.0207875662626353,1,1,1,0.0951306055119379,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.917658738921833,1,1,1,1,1
Acp24A4,1,1,0.884852703147046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acp26Aa,3.78797211124873e-16,0.305967850081365,0.49650758224469,1,1,1,0.0569212652827094,1,1,0.838890530756677,1,1,0.838890530756677,1,1,1,1,0.394345711783327,1,1,0.394345711783327,1,1,1,1,1,1,1,0.933043688799487,1,1,1
Acp26Ab,3.29457452232563e-10,0.584837016389592,0.729245973898374,0.444704567563169,1,1,1,0.100895074274408,0.129694246656937,1,1,0.981282906416445,1,1,0.981282906416445,1,0.619127863893601,1,0.514704423694757,0.574586114315836,1,0.514704423694757,0.574586114315836,1,1,1,1,1,1,1,1,1
Acp29AB,2.44990573728135e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acp32CD,2.97318905293027e-06,1,1,1,0.000408791009118857,1,1,1,1,1,1,1,1,1,1,0.0298284987518448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acp33A,0,0.00536711780204249,0.00536711780204249,0.00536711780204249,0.00536711780204249,0.00536711780204249,0.120012673440956,0.120012673440956,0.120012673440956,0.120012673440956,0.120012673440956,0.120012673440956,0.120012673440956,0.120012673440956,0.120012673440956,0.120012673440956,0.554863825898022,0.554863825898022,0.554863825898022,0.554863825898022,0.554863825898022,0.554863825898022,0.554863825898022,0.554863825898022,0.554863825898022,0.554863825898022,1,1,1,1,1,1
Acp36DE,2.68979914823855e-12,1,1,1,0.142298878278875,1,1,1,1,1,0.599886202373335,0.599886202373335,1,1,1,0.599886202373335,1,1,1,1,1,1,1,1,0.28788093908578,1,1,1,1,1,0.816548942910091,1
Acp53C14a,1.66033053748096e-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00545097734634945,1,1,1,1,1,1,1,1,1,0.121036332261938,0.121036332261938,1,1,1,0.55726013346236
Acp53C14b,7.65277361599446e-06,0.564602886269527,0.564602886269527,0.564602886269527,0.564602886269527,0.564602886269527,1,0.122519433187877,1,1,0.190087692601626,1,1,1,1,1,1,0.682939466715018,0.560069204639553,0.682939466715018,1,0.560069204639553,1,1,0.682939466715018,1,1,1,1,1,1,1
Acp53C14c,2.5277219605396e-07,0.602590900098425,1,0.602590900098425,0.602590900098425,0.602590900098425,1,1,1,1,1,0.10548870435368,1,1,1,1,1,0.558693693169704,0.525094646540804,0.549516772475214,1,1,1,1,1,0.525094646540804,1,1,1,1,1,1
Acp53Ea,2.50674326845357e-07,1,0.123708352483857,1,0.112842758088231,1,0.0903602246814925,1,0.56253565102034,0.0831455576856563,0.0708221588485616,0.54088743993052,1,1,1,0.54088743993052,1,0.00248339359628674,1,0.438054291228585,1,1,1,0.471701051228792,1,1,0.27603488292142,1,0.321886418003802,1,1,1
Acp63F,0.0377481310414,0.263371581261776,1,0.0465463503694477,0.042259271473784,0.781157215213509,1,0.932995868840197,1,0.74125897803625,1,0.767520887753808,0.155834800522905,1,0.0686065028581998,1,1,1,1,1,1,0.709503795763451,1,0.650261957972836,1,0.534878738576602,1,1,1,1,1,1
Acp65Aa,1.33858774683157e-07,1,1,1,1.66901463475566e-16,0.958727989928704,1,1,1,0.953441518647445,0.452790712964845,1,1,1,1,1,1,1,1,1,1,1,1,1,0.819066341078936,1,1,1,1,1,1,1
Acp76A,8.27674699506819e-06,1,1,1,0.0051930205990908,1,1,1,1,1,1,0.517674877774628,1,1,1,0.119137197754619,1,1,1,1,1,1,1,0.981320374724005,1,1,1,1,0.916765281471671,1,1,1
Acph-1,4.62342209001907e-28,1,1,1,1,0.559871796068825,1,1,1,1,1,1,1,1,5.05064681593928e-05,1,1,1,1,1,1,1,1,1,1,0.111052683951995,1,1,1,1,1,1
Acsl,6.62524258178308e-30,1,1,1,0.00464483150994993,0.0791522107130263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Act42A,0.00222611831466998,1,1,1,1,0.667392758485359,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Actn3,1.20284013150553e-08,1,1,1,8.96879239103924e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACXD,1,1,1,1,1,0.180981464957235,1,1,1,1,1,1,1,1,1,0.790821337836884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACXE,3.99027416841816e-06,1,1,1,0.000129669385537653,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acyp,2.09473625126193e-06,1,1,1,3.64185689340877e-05,1,1,1,1,1,1,1,1,1,1,0.926538977014933,1,1,1,1,1,1,1,1,0.976326290486746,1,1,1,1,1,1,1
Ada2a,0.20426701451005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.733309731548647,1,1,0.610452750921769,1,1,1,1,0.766348379674685,1
Adat1,3.28486914879531e-65,1,1,3.62146893490396e-57,1,1,1,0.981488255602318,0.151207513570047,1,1,0.0996922200245439,1,1,4.18522907776282e-48,1,0.30573070040021,1,1,1,1,1,0.616575082293948,1,1,0.511660863689937,1,0.838731414839681,1,1,1,1
Adck,1,1,1,1,0.000942794573030096,1,1,1,1,1,0.575657090779527,0.131048573138033,1,1,1,0.48013436242415,1,1,1,1,1,1,1,1,1,0.978858659434981,1,1,1,1,1,1
ADD1,0.421109209024642,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.785356534894962
ade2,7.39549598412908e-23,1,1,0.0266596741994207,1,1,1,1,1,1,1,0.706993715867434,1,1,0.17247799680089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ade3,2.93216547577994e-24,1,1,0.00327269135558556,0.881997192873584,0.755263629788981,1,1,1,1,1,0.382550008485071,1,1,0.0667235497556444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ade5,2.26332590946288e-26,1,1,0.0120375461811256,0.279662928619564,3.56540642915427e-05,1,1,1,1,1,0.758213053165662,1,1,1,1,1,1,1,1,1,1,1,1,1,0.234792241771834,1,1,1,1,1,1
Adf1,0.445273990155005,1,1,1,1,1,1,1,1,1,1,1,1,0.126277992496852,0.749434738263025,1,1,1,1,1,0.525186542220105,1,0.554863825898022,1,0.520073579728442,1,1,0.554863825898022,1,1,0.554863825898022,1
Adgf-E,5.07102988689863e-06,1,1,1,0.000149111904988648,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.827812855092257,1
Adh,1.38979993898127e-32,1,1,0.0615539949192948,0.0410535701181639,2.32444374099139e-09,1,1,1,1,1,1,1,1,0.416998270690962,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adhr,2.51723346502011e-14,1,1,5.19605093194339e-09,1,1,1,1,1,1,1,1,1,1,3.13540748250797e-05,0.59715105847218,1,1,1,1,1,1,1,1,1,1,1,1,0.595164144839592,1,1,1
AdoR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.803928291364619,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
