Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
Ack,CG11581,CG12011,Adh,Acp76A,Acsl,CG12661,CG12009,CG12111,CG12538,CG11635,Amy-p,CecB,Bap55,Acp63F,Amy-p,CG12496,CG12929,CG12723,CG12538,Cdlc2,CG10165,bab2,Bap55,Cda5,AIMP1,CG13217,CG10804,CG10307,CG10444,c12.1,Caf1-180
Ack-like,CG11777,CG12035,Adhr,Acsl,ACXD,CG12849,CG12236,CG12309,CG12723,CG12395,ana2,CG10257,Bem46,Acph-1,Apf,CG12539,CG13008,CG12849,CG13361,CG10195,CG10257,BBS1,bsk,CG10055,akirin,CG13296,CG10866,CG10494,CG10761,C901,Capa
Acn,CG12009,CG12263,AdSL,Actn3,ade5,CG13008,CG12278,CG12395,CG12849,CG12538,Ance-4,CG10384,betaTub56D,Adat1,AQP,CG12607,CG13284,CG13217,CG13438,CG10362,CG10262,BCAS2,btv,CG10104,AlaRS,CG13361,CG10880,CG10761,CG11149,CAH1,Ccp84Ab
Acox57D-p,CG12236,CG12395,Ady43A,ACXE,Adh,CG13168,CG12688,CG12607,CG12923,CG12929,aqrs,CG10405,BHD,ade2,aqrs,CG12684,CG13299,CG13284,CG13500,CG10405,CG10761,bnk,bug,CG10195,AlaRS-m,CG13590,CG10936,CG10801,CG11151,Ccp84Ab,CG10055
Acp1,CG12395,CG12661,Ag5r2,Acyp,adp,CG13284,CG12723,CG12684,CG12929,CG13159,aralar1,CG10761,blanks,ade3,Arpc1,CG12688,CG13500,CG13361,CG13557,CG10804,CG11085,Bruce,CalpA,CG10494,Aldh-III,CG13670,CG11149,CG10804,CG11247,Cda5,CG10151
Acp26Aa,CG12723,CG12723,AGBE,Adck,AGBE,CG13296,CG12849,CG12693,CG13084,CG13204,arg,CG11112,boca,Adh,Arpc4,CG12723,CG13557,CG1339,CG13692,CG1092,CG11149,C901,CCHa2-R,CG10565,alien,CG13705,CG11221,CG10920,CG11319,Cdk7,CG10344
Acp26Ab,CG12783,CG12995,agt,ade5,ago,CG13500,CG13010,CG12698,CG13159,CG13438,Arp2,CG11327,brk,Adhr,AsnRS,CG12849,CG13590,CG13500,CG14052,CG11112,CG11151,Cad96Ca,Ccs,CG10839,ALiX,CG14007,CG11327,CG10970,CG11585,CG10055,CG10803
Acp29AB,CG12849,CG13427,AhcyL2,Adgf-E,agt,CG13670,CG13168,CG12723,CG13284,CG13500,AsnRS,CG11349,CalpA,adp,AstA-R2,CG12860,CG13653,CG13670,CG14069,CG11327,CG11319,Ccp84Ab,CdGAPr,CG11327,alph,CG14052,CG12012,CG11200,CG11634,CG10151,CG10866
Acp32CD,CG12911,CG13500,AlaRS,Adh,Ahcy,CG13876,CG13227,CG13010,CG13500,CG13557,Atg8b,CG11498,cas,AdSL,Atg8b,CG13010,CG13670,CG13692,CG14185,CG12395,CG11327,Ccp84Ac,Cdlc2,CG11593,alpha-Est1,CG14327,CG12236,CG11327,CG11865,CG10344,CG10927
Acp33A,CG13159,CG13557,AlaRS-m,AGBE,Akap200,CG14007,CG13361,CG13164,CG13590,CG13658,aurB,CG11581,CCDC53,Ady43A,ATPsynG,CG13164,CG14007,CG14034,CG14317,CG12539,CG11470,CenG1A,CG10029,CG12018,alpha-Est5,CG14329,CG12309,CG11593,CG12014,CG10347,CG11007
Acp36DE,CG1339,CG13653,Alas,Ahcy,Akh,CG14069,CG1339,CG1340,CG13670,CG13670,awd,CG12014,ced-6,Ag5r2,AttD,CG13168,CG14069,CG14052,CG14492,CG12934,CG11523,CG10195,CG10031,CG12112,alpha4GT1,CG14568,CG12723,CG12333,CG12096,CG10348,CG1109
